Alicia,Shakira,Darya,Jenny,Kim,Marie,Paulina,Sabrina,Sandra,Steffi,id,mm1,mm2,lights
1,5,0,8,4,3,6,7,10,2,29557725,6,9,10
1,5,0,8,4,3,9,7,10,2,29557725,6,9,10
